Time,V(R5:2)
9.672086438861e-05,3.955838585731e-05
9.741628370013e-05,3.955838586452e-05
9.795015058246e-05,3.955838586000e-05
9.852893552508e-05,3.955838584545e-05
9.914081296649e-05,3.955838585529e-05
9.983756742206e-05,3.955838586837e-05
1.000000020800e-04,3.955838586186e-05
1.000044344304e-04,3.955838585831e-05
1.000132991312e-04,3.955838585849e-05
1.000310285328e-04,3.955838585804e-05
1.000664873360e-04,3.955838585927e-05
1.001049919365e-04,3.955838585938e-05
1.001820011375e-04,3.955838586345e-05
1.003241939781e-04,3.955838586260e-05
1.006085796593e-04,3.955838586220e-05
1.010724468468e-04,3.955838585771e-05
1.014905376671e-04,3.955838585506e-05
1.021275921104e-04,3.955838585928e-05
1.028131885765e-04,3.955838586770e-05
1.034348888634e-04,3.955838585007e-05
1.039391918419e-04,3.955838586561e-05
1.045061512230e-04,3.955838586431e-05
1.051096363304e-04,3.955838585593e-05
1.056724949119e-04,3.955838585905e-05
1.063814563988e-04,3.955838586162e-05
1.070842190025e-04,3.955838584686e-05
1.076722545860e-04,3.955838585624e-05
1.082735462425e-04,3.955838584765e-05
1.087153835533e-04,3.955838584740e-05
1.092267437218e-04,3.955838586380e-05
1.097102566002e-04,3.955838586366e-05
1.101987285850e-04,3.955838585917e-05
1.108392162559e-04,3.955838585472e-05
1.114731235741e-04,3.955838585347e-05
1.120018406151e-04,3.955838586384e-05
1.125101490257e-04,3.955838586526e-05
1.131186886070e-04,3.955838586614e-05
1.136598987816e-04,3.955838585853e-05
1.141649646995e-04,3.955838587030e-05
1.147723598717e-04,3.955838585482e-05
1.153533382652e-04,3.955838585538e-05
1.160573406456e-04,3.955838586203e-05
1.166365070579e-04,3.955838587231e-05
1.173510952232e-04,3.955838586242e-05
1.180562420128e-04,3.955838585952e-05
1.185010357139e-04,3.955838586374e-05
1.189304275749e-04,3.955838586648e-05
1.194340629814e-04,3.955838585482e-05
1.201217575310e-04,3.955838586628e-05
1.207496567009e-04,3.955838584572e-05
1.212797088859e-04,3.955838584578e-05
1.219882889030e-04,3.955838586607e-05
1.226525230644e-04,3.955838584959e-05
1.231155796287e-04,3.955838586035e-05
1.235836906670e-04,3.955838585916e-05
1.240228100059e-04,3.955838585570e-05
1.245862407921e-04,3.955838585992e-05
1.252000255821e-04,3.955838584916e-05
1.259461803673e-04,3.955838586064e-05
1.265439434288e-04,3.955838586665e-05
