  Time                 , V(V1:+)              , V(U1A:OUT)           
  2.511924532009e-03  ,-1.000000000000e+00  ,-3.579615887551e+00  
  2.512497976375e-03  ,-1.000000000000e+00  ,-3.522583534274e+00  
  2.513644865108e-03  ,-1.000000000000e+00  ,-3.408586353541e+00  
  2.515137174678e-03  ,-1.000000000000e+00  ,-3.260146342333e+00  
  2.517664793086e-03  ,-1.000000000000e+00  ,-3.008816847831e+00  
  2.522720029903e-03  ,-1.000000000000e+00  ,-2.506125230190e+00  
  2.532830503536e-03  ,-1.000000000000e+00  ,-1.500736688517e+00  
  2.553051450801e-03  ,-1.000000000000e+00  ,5.100114016526e-01  
  2.575024107051e-03  ,-1.000000000000e+00  ,2.694924054653e+00  
  2.593789365840e-03  ,-1.000000000000e+00  ,4.056735323088e+00  
  2.610854795528e-03  ,-1.000000000000e+00  ,4.066595763789e+00  
  2.624171140743e-03  ,-1.000000000000e+00  ,4.067892659034e+00  
  2.634174802852e-03  ,-1.000000000000e+00  ,4.067813770069e+00  
  2.653645017696e-03  ,-1.000000000000e+00  ,4.067529700113e+00  
  2.690601804805e-03  ,-1.000000000000e+00  ,4.067328662304e+00  
  2.764515379024e-03  ,-1.000000000000e+00  ,4.067333419074e+00  
  2.884510496211e-03  ,-1.000000000000e+00  ,4.067332124458e+00  
  3.004505613399e-03  ,-1.000000000000e+00  ,4.067331637514e+00  
  3.124500730586e-03  ,-1.000000000000e+00  ,4.067331610390e+00  
  3.244495847774e-03  ,-1.000000000000e+00  ,4.067331619059e+00  
  3.364490964961e-03  ,-1.000000000000e+00  ,4.067331623260e+00  
  3.484486082149e-03  ,-1.000000000000e+00  ,4.067331620324e+00  
  3.604481199336e-03  ,-1.000000000000e+00  ,4.067331621221e+00  
  3.724476316524e-03  ,-1.000000000000e+00  ,4.067331621708e+00  
  3.844471433711e-03  ,-1.000000000000e+00  ,4.067331621414e+00  
  3.964466550899e-03  ,-1.000000000000e+00  ,4.067331621631e+00  
  4.000000001012e-03  ,-9.760001007099e-01  ,4.067417741430e+00  
  4.000000001111e-03  ,-7.783994842848e-01  ,4.067418013767e+00  
  4.000000001308e-03  ,-3.831791694765e-01  ,4.067419082192e+00  
  4.000000001704e-03  ,4.072631948636e-01  ,4.067424360246e+00  
  4.000000002012e-03  ,1.000000000000e+00  ,4.067431335596e+00  
  4.000000002091e-03  ,1.000000000000e+00  ,4.067433429203e+00  
  4.000000002249e-03  ,1.000000000000e+00  ,4.067437616047e+00  
  4.000000002565e-03  ,1.000000000000e+00  ,4.067445988364e+00  
  4.000000003198e-03  ,1.000000000000e+00  ,4.067462725120e+00  
  4.000000004462e-03  ,1.000000000000e+00  ,4.067496144467e+00  
  4.000000006992e-03  ,1.000000000000e+00  ,4.067562811448e+00  
  4.000000012051e-03  ,1.000000000000e+00  ,4.067695461430e+00  
  4.000000022169e-03  ,1.000000000000e+00  ,4.067958048959e+00  
  4.000000042405e-03  ,1.000000000000e+00  ,4.068472558193e+00  
  4.000000082877e-03  ,1.000000000000e+00  ,4.069460340420e+00  
  4.000000163820e-03  ,1.000000000000e+00  ,4.071281705657e+00  
  4.000000325707e-03  ,1.000000000000e+00  ,4.074384003544e+00  
  4.000000649482e-03  ,1.000000000000e+00  ,4.078913708403e+00  
  4.000001297030e-03  ,1.000000000000e+00  ,4.083829173158e+00  
  4.000002592127e-03  ,1.000000000000e+00  ,4.086768934378e+00  
  4.000005182322e-03  ,1.000000000000e+00  ,4.087026800434e+00  
  4.000010362710e-03  ,1.000000000000e+00  ,4.086928867870e+00  
  4.000020723488e-03  ,1.000000000000e+00  ,4.086929379765e+00  
  4.000041445042e-03  ,1.000000000000e+00  ,4.086909422221e+00  
  4.000082888152e-03  ,1.000000000000e+00  ,4.086811327598e+00  
  4.000165774371e-03  ,1.000000000000e+00  ,4.086660657504e+00  
  4.000331546809e-03  ,1.000000000000e+00  ,4.086346768408e+00  
  4.000663091685e-03  ,1.000000000000e+00  ,4.085733129274e+00  
  4.001326181437e-03  ,1.000000000000e+00  ,4.084543000624e+00  
  4.002652360942e-03  ,1.000000000000e+00  ,4.082164459821e+00  
  4.004750825908e-03  ,1.000000000000e+00  ,4.078197407161e+00  
  4.007067873027e-03  ,1.000000000000e+00  ,4.072135059300e+00  
  4.008228113200e-03  ,1.000000000000e+00  ,4.005133801544e+00  
  4.009198572184e-03  ,1.000000000000e+00  ,3.810832979642e+00  
  4.009417368914e-03  ,1.000000000000e+00  ,3.817522754876e+00  
  4.009610058810e-03  ,1.000000000000e+00  ,3.805555956400e+00  
  4.009804727580e-03  ,1.000000000000e+00  ,3.784475109391e+00  
  4.009989907290e-03  ,1.000000000000e+00  ,3.763987670016e+00  
  4.010127617862e-03  ,1.000000000000e+00  ,3.750949710035e+00  
  4.010282136943e-03  ,1.000000000000e+00  ,3.736363758956e+00  
  4.010482313182e-03  ,1.000000000000e+00  ,3.716267316763e+00  
  4.010711123492e-03  ,1.000000000000e+00  ,3.693186722344e+00  
  4.011098410632e-03  ,1.000000000000e+00  ,3.654799896301e+00  
  4.011504103686e-03  ,1.000000000000e+00  ,3.614534838683e+00  
  4.012069918658e-03  ,1.000000000000e+00  ,3.558218209200e+00  
  4.013201548602e-03  ,1.000000000000e+00  ,3.445687263430e+00  
  4.014740588214e-03  ,1.000000000000e+00  ,3.292640726763e+00  
  4.017818667437e-03  ,1.000000000000e+00  ,2.986541717551e+00  
  4.023974825885e-03  ,1.000000000000e+00  ,2.374352037798e+00  
  4.036287142779e-03  ,1.000000000000e+00  ,1.149977509859e+00  
  4.060911776568e-03  ,1.000000000000e+00  ,-1.298743221236e+00  
  4.087309481646e-03  ,1.000000000000e+00  ,-3.923739860743e+00  
  4.109352328326e-03  ,1.000000000000e+00  ,-4.065404069133e+00  
  4.123222567584e-03  ,1.000000000000e+00  ,-4.067305510887e+00  
  4.133738925006e-03  ,1.000000000000e+00  ,-4.067543334959e+00  
  4.153761508014e-03  ,1.000000000000e+00  ,-4.067338734413e+00  
  4.188868929889e-03  ,1.000000000000e+00  ,-4.067350497011e+00  
  4.259083773639e-03  ,1.000000000000e+00  ,-4.067344851790e+00  
  4.379078890826e-03  ,1.000000000000e+00  ,-4.067344465051e+00  
  4.500000002012e-03  ,9.760001006140e-01  ,-4.067378680635e+00  
  4.500000002111e-03  ,7.783994833993e-01  ,-4.067378952986e+00  
  4.500000002308e-03  ,3.831791670118e-01  ,-4.067380126132e+00  
  4.500000002704e-03  ,-4.072632004868e-01  ,-4.067385487910e+00  
  4.500000003012e-03  ,-1.000000000000e+00  ,-4.067392463175e+00  
  4.500000003091e-03  ,-1.000000000000e+00  ,-4.067394556767e+00  
  4.500000003249e-03  ,-1.000000000000e+00  ,-4.067398743579e+00  
  4.500000003565e-03  ,-1.000000000000e+00  ,-4.067407115830e+00  
  4.500000004198e-03  ,-1.000000000000e+00  ,-4.067423852458e+00  
  4.500000005462e-03  ,-1.000000000000e+00  ,-4.067457271548e+00  
  4.500000007992e-03  ,-1.000000000000e+00  ,-4.067523938073e+00  
  4.500000013051e-03  ,-1.000000000000e+00  ,-4.067656587033e+00  
  4.500000023169e-03  ,-1.000000000000e+00  ,-4.067919172530e+00  
  4.500000043405e-03  ,-1.000000000000e+00  ,-4.068433677778e+00  
  4.500000083877e-03  ,-1.000000000000e+00  ,-4.069421452290e+00  
  4.500000164820e-03  ,-1.000000000000e+00  ,-4.071242803152e+00  
  4.500000326707e-03  ,-1.000000000000e+00  ,-4.074345075966e+00  
  4.500000650482e-03  ,-1.000000000000e+00  ,-4.078874743007e+00  
  4.500001298030e-03  ,-1.000000000000e+00  ,-4.083790164293e+00  
  4.500002593127e-03  ,-1.000000000000e+00  ,-4.086729897999e+00  
  4.500005183322e-03  ,-1.000000000000e+00  ,-4.086987773835e+00  
  4.500010363710e-03  ,-1.000000000000e+00  ,-4.086889866138e+00  
  4.500020724488e-03  ,-1.000000000000e+00  ,-4.086890427374e+00  
  4.500041446042e-03  ,-1.000000000000e+00  ,-4.086870565159e+00  
  4.500082889152e-03  ,-1.000000000000e+00  ,-4.086772661393e+00  
  4.500165775371e-03  ,-1.000000000000e+00  ,-4.086622354373e+00  
  4.500331547809e-03  ,-1.000000000000e+00  ,-4.086309147952e+00  
  4.500663092685e-03  ,-1.000000000000e+00  ,-4.085696605578e+00  
  4.501326182437e-03  ,-1.000000000000e+00  ,-4.084506379322e+00  
  4.502652361942e-03  ,-1.000000000000e+00  ,-4.082122957589e+00  
  4.504759982181e-03  ,-1.000000000000e+00  ,-4.078128888067e+00  
  4.507082369876e-03  ,-1.000000000000e+00  ,-4.071968120398e+00  
  4.508205607486e-03  ,-1.000000000000e+00  ,-4.003377415540e+00  
  4.509207346988e-03  ,-1.000000000000e+00  ,-3.806684985883e+00  
  4.509429004741e-03  ,-1.000000000000e+00  ,-3.813847871752e+00  
  4.509625151706e-03  ,-1.000000000000e+00  ,-3.801495064375e+00  
  4.509823206020e-03  ,-1.000000000000e+00  ,-3.779981047852e+00  
  4.510017993999e-03  ,-1.000000000000e+00  ,-3.758576605611e+00  
